Trial_Number,Primary_Voltage_V,Primary_Current_A,Primary_Power_kW,Primary_Power_Factor,Secondary_Voltage_V,Secondary_Current_A,Secondary_Power_kW,Secondary_Power_Factor,Temperature_C,Humidity_percent,Efficiency_percent,Load_Category,Temp_Zone
1,228.2,1.38,0.24,0.755,19.13,66.28,1.06,0.835,181.3,26.1,80.0,Light (<50%),Emergency (>180°C)
2,225.13,10.94,2.04,0.83,19.33,19.84,0.31,0.818,167.0,20.5,80.0,Light (<50%),Critical (150-180°C)
3,229.79,18.51,3.06,0.719,19.06,76.27,1.19,0.821,166.6,71.1,80.0,Light (<50%),Critical (150-180°C)
4,229.15,34.02,6.8,0.872,19.35,63.41,0.87,0.709,66.4,40.3,81.98392080933029,Medium (50-70%),Normal (<120°C)
5,228.18,20.07,3.54,0.774,19.13,24.03,0.41,0.887,139.1,62.6,80.0,Light (<50%),High (120-150°C)
6,229.95,35.2,6.56,0.811,19.41,75.86,1.26,0.855,66.6,22.2,85.38872914300516,Medium (50-70%),Normal (<120°C)
7,229.38,17.31,3.3,0.831,19.24,82.31,1.25,0.792,72.8,37.3,80.34346865080744,Light (<50%),Normal (<120°C)
8,227.0,12.06,2.46,0.9,19.31,8.18,0.11,0.709,46.0,63.9,80.0,Light (<50%),Normal (<120°C)
9,229.98,29.1,5.98,0.894,19.52,1.03,0.02,0.844,144.9,57.6,82.22429575200732,Medium (50-70%),High (120-150°C)
10,227.27,52.46,10.43,0.875,19.16,45.05,0.64,0.736,184.9,80.9,80.0,Heavy (>70%),Emergency (>180°C)
11,228.81,29.67,5.81,0.856,19.32,0.05,0.0,0.765,30.4,85.0,83.63377549948255,Medium (50-70%),Normal (<120°C)
12,229.39,52.08,8.57,0.717,19.29,6.23,0.1,0.852,159.5,29.0,80.0,Heavy (>70%),Critical (150-180°C)
13,227.12,11.65,2.14,0.808,19.44,18.1,0.27,0.762,199.2,65.5,80.0,Light (<50%),Emergency (>180°C)
14,226.69,32.36,5.47,0.746,19.13,6.39,0.1,0.826,66.6,83.4,83.70693333488884,Medium (50-70%),Normal (<120°C)
15,226.07,7.28,1.46,0.887,19.34,42.54,0.71,0.857,166.7,33.3,80.0,Light (<50%),Critical (150-180°C)
16,228.65,37.04,7.6,0.897,19.06,36.24,0.53,0.768,176.1,37.4,80.0,Medium (50-70%),Critical (150-180°C)
17,226.25,50.78,9.06,0.789,19.52,49.53,0.69,0.71,199.9,78.5,80.0,Heavy (>70%),Emergency (>180°C)
18,227.43,11.76,2.09,0.78,19.04,34.11,0.58,0.897,72.9,74.9,80.67626806847814,Light (<50%),Normal (<120°C)
19,227.78,39.51,6.58,0.731,19.18,87.18,1.36,0.816,120.8,72.4,84.35815967614485,Heavy (>70%),High (120-150°C)
20,225.79,52.84,8.54,0.716,19.11,53.55,0.85,0.835,67.7,28.4,84.37814453099631,Heavy (>70%),Normal (<120°C)
21,227.1,32.1,5.87,0.805,19.56,18.38,0.3,0.843,68.3,47.7,86.22559347724321,Medium (50-70%),Normal (<120°C)
22,225.36,25.21,5.11,0.9,19.6,6.59,0.1,0.743,72.9,85.3,80.0,Light (<50%),Normal (<120°C)
23,229.17,38.69,7.29,0.822,19.59,58.86,0.81,0.702,168.4,41.0,81.96628601125731,Heavy (>70%),Critical (150-180°C)
24,225.54,30.43,5.17,0.754,19.36,64.59,0.93,0.741,136.7,38.5,82.48689540313819,Medium (50-70%),High (120-150°C)
25,227.12,15.22,2.42,0.701,19.46,57.34,0.84,0.752,155.2,58.6,80.0,Light (<50%),Critical (150-180°C)
26,229.52,30.01,5.97,0.867,19.35,13.33,0.19,0.725,80.3,82.9,85.25022961501926,Medium (50-70%),Normal (<120°C)
27,226.25,5.65,1.09,0.856,19.53,36.57,0.59,0.824,53.7,85.1,82.76424861398998,Light (<50%),Normal (<120°C)
28,225.12,40.51,6.99,0.766,19.56,72.2,1.23,0.873,167.3,38.7,81.25577975401335,Heavy (>70%),Critical (150-180°C)
29,226.11,44.91,8.04,0.792,19.18,71.58,1.02,0.746,31.1,33.5,87.4073749781656,Heavy (>70%),Normal (<120°C)
30,228.21,21.98,4.49,0.896,19.32,84.53,1.18,0.723,194.9,32.5,80.0,Light (<50%),Emergency (>180°C)
31,228.64,17.25,3.24,0.821,19.31,34.67,0.55,0.815,71.1,69.6,80.0,Light (<50%),Normal (<120°C)
32,228.71,36.88,6.52,0.773,19.04,59.78,0.87,0.766,81.3,79.4,87.08517872585765,Medium (50-70%),Normal (<120°C)
33,227.01,16.26,2.68,0.725,19.25,84.63,1.36,0.835,183.2,63.1,80.0,Light (<50%),Emergency (>180°C)
34,227.15,31.9,6.02,0.831,19.28,39.79,0.57,0.743,108.9,83.1,82.79635602974565,Medium (50-70%),Normal (<120°C)
35,228.16,18.44,3.64,0.864,19.45,60.55,0.88,0.745,61.4,21.7,80.0,Light (<50%),Normal (<120°C)
36,227.07,34.64,5.81,0.739,19.42,44.49,0.65,0.749,140.5,20.4,83.3354385818282,Medium (50-70%),High (120-150°C)
37,225.88,52.69,9.57,0.804,19.03,22.43,0.37,0.87,106.0,76.1,85.77011882532948,Heavy (>70%),Normal (<120°C)
38,229.46,33.7,6.53,0.844,19.3,74.75,1.17,0.81,182.2,72.1,80.0,Medium (50-70%),Emergency (>180°C)
39,228.83,28.67,5.41,0.825,19.16,6.97,0.1,0.757,74.0,42.4,84.91184943689716,Medium (50-70%),Normal (<120°C)
40,228.53,3.53,0.63,0.782,19.33,37.42,0.54,0.741,99.7,83.3,80.0,Light (<50%),Normal (<120°C)
41,226.9,0.32,0.06,0.77,19.45,76.81,1.33,0.891,99.5,72.3,80.0,Light (<50%),Normal (<120°C)
42,227.18,1.6,0.28,0.767,19.41,36.39,0.52,0.733,107.9,28.9,80.0,Light (<50%),Normal (<120°C)
43,225.14,35.35,5.79,0.727,19.28,4.53,0.07,0.776,63.6,42.9,86.66577285546582,Medium (50-70%),Normal (<120°C)
44,226.26,4.5,0.72,0.704,19.32,89.99,1.34,0.77,139.5,74.7,80.0,Light (<50%),High (120-150°C)
45,225.1,8.38,1.37,0.725,19.4,50.76,0.73,0.744,148.0,73.7,80.0,Light (<50%),High (120-150°C)
46,229.1,53.06,8.78,0.722,19.02,28.08,0.45,0.835,192.8,47.8,80.0,Heavy (>70%),Emergency (>180°C)
47,225.51,42.49,8.34,0.87,19.36,10.89,0.19,0.897,162.4,44.3,80.12369352458384,Heavy (>70%),Critical (150-180°C)
48,229.25,45.23,7.48,0.721,19.58,57.2,0.97,0.866,149.4,50.5,88.47459765642026,Heavy (>70%),High (120-150°C)
49,227.69,26.59,4.76,0.787,19.44,24.16,0.41,0.87,170.7,26.1,80.0,Light (<50%),Critical (150-180°C)
50,226.89,1.58,0.31,0.87,19.11,19.09,0.31,0.86,85.9,81.6,80.0,Light (<50%),Normal (<120°C)
51,225.43,39.6,7.12,0.798,19.45,62.15,1.0,0.829,111.9,75.5,85.35861809039027,Heavy (>70%),Normal (<120°C)
52,227.91,26.03,4.78,0.806,19.26,67.13,0.99,0.766,148.6,39.0,80.0,Light (<50%),High (120-150°C)
